thisBlock,leftnum,rightnum,leftsize,rightsize,condition,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructionstxt.started,start_resp.started,start_resp.keys,start_resp.rt,blocktxt.started,block_resp.started,block_resp.keys,block_resp.rt,left.started,right.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,fbtxt.started,fbtxt.stopped,byetxt.started,byetxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,13.09234530001413,13.09234530001413,space,1.061005000025034,,,,,,,,,,,,,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,2,6,0.1,0.05,incongruent,right,0,0,0,0,0,0,0,2,,,,,14.189211300108582,14.189211300108582,space,0.8436088999733329,15.223449900047854,15.223449900047854,15.223449900047854,left,0,1.354928100015968,16.607457800069824,17.608109100023285,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,6,2,0.1,0.05,congruent,left,0,0,0,0,0,1,1,1,,,,,,,,,17.608109100023285,17.608109100023285,17.608109100023285,left,1,0.6806338999886066,18.30864400009159,19.309377500088885,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,6,2,0.05,0.1,incongruent,left,0,0,0,0,0,2,2,3,,,,,,,,,19.309377500088885,19.309377500088885,19.309377500088885,left,1,0.634903599973768,19.976823100005277,20.977385300095193,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,2,6,0.05,0.1,congruent,right,0,0,0,0,0,3,3,0,,,,,,,,,20.977385300095193,20.977385300095193,20.977385300095193,right,1,0.5685192999662831,21.57783660001587,22.578770700027235,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,2,6,0.05,0.1,congruent,right,0,0,0,0,1,0,4,0,,,,,,,,,22.578770700027235,22.578770700027235,22.578770700027235,right,1,0.46974919992499053,23.079445700044744,24.08004910009913,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,6,2,0.1,0.05,congruent,left,0,0,0,0,1,1,5,1,,,,,,,,,24.08004910009913,24.08004910009913,24.08004910009913,left,1,0.5209567000856623,24.63058340002317,25.631869700038806,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,6,2,0.05,0.1,incongruent,left,0,0,0,0,1,2,6,3,,,,,,,,,25.631869700038806,25.631869700038806,25.631869700038806,left,1,0.5052423999877647,26.165361499995925,27.16602060000878,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,2,6,0.1,0.05,incongruent,right,0,0,0,0,1,3,7,2,,,,,,,,,27.16602060000878,27.16602060000878,27.16602060000878,right,1,0.4908182000508532,27.683086200035177,28.6841622000793,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,2,6,0.05,0.1,congruent,right,0,0,0,0,2,0,8,0,,,,,,,,,28.6841622000793,28.6841622000793,28.6841622000793,right,1,0.4936504999641329,29.20122370007448,30.201925600063987,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
